commenter_type,n_comments,n_coalition_briefs,coalition_brief_rate
ADV,77,2,0.026
HIT,124,1,0.008
AIC,22,0,0.0
HSP,47,0,0.0
IND,88,0,0.0
LAB,5,0,0.0
MPS,54,0,0.0
PAY,10,0,0.0
POL,11,0,0.0
TEC,8,0,0.0
