rfi_question,n_addressed,n_total,prevalence,ci_lo,ci_hi
1,233,446,0.522,0.476,0.568
2,224,446,0.502,0.456,0.548
3,200,446,0.448,0.403,0.495
4,172,446,0.386,0.342,0.432
5,189,446,0.424,0.379,0.47
6,167,446,0.374,0.331,0.42
7,161,446,0.361,0.318,0.407
8,180,446,0.404,0.359,0.45
9,163,446,0.365,0.322,0.411
10,156,446,0.35,0.307,0.395
