comment_id,commenter_type,coalition,cluster_id
HHS-ONC-2026-0001-0285,IND,Selective Universalists,2
HHS-ONC-2026-0001-0286,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0287,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0288,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0289,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0290,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0291,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0292,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0293,TEC,Limited Engagement,1
HHS-ONC-2026-0001-0294,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0295,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0296,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0297,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0298,AIC,Limited Engagement,1
HHS-ONC-2026-0001-0300,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0299,IND,Selective Universalists,2
HHS-ONC-2026-0001-0301,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0302,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0303,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0304,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0305,AIC,Limited Engagement,1
HHS-ONC-2026-0001-0306,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0307,PAY,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0308,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0309,AIC,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0311,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0310,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0312,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0313,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0314,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0315,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0317,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0316,PAY,Limited Engagement,1
HHS-ONC-2026-0001-0318,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0319,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0320,POL,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0322,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0321,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0323,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0324,POL,Selective Universalists,2
HHS-ONC-2026-0001-0325,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0326,AIC,Selective Universalists,2
HHS-ONC-2026-0001-0328,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0330,PAY,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0329,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0331,PAY,Selective Universalists,2
HHS-ONC-2026-0001-0332,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0333,IND,Selective Universalists,2
HHS-ONC-2026-0001-0336,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0335,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0334,HSP,Limited Engagement,1
HHS-ONC-2026-0001-0337,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0338,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0339,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0342,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0343,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0340,POL,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0341,AIC,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0344,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0345,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0346,PAY,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0347,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0349,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0348,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0350,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0351,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0354,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0352,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0353,IND,Selective Universalists,2
HHS-ONC-2026-0001-0356,HSP,Limited Engagement,1
HHS-ONC-2026-0001-0355,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0357,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0358,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0359,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0360,POL,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0361,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0362,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0363,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0364,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0366,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0365,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0368,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0367,POL,Selective Universalists,2
HHS-ONC-2026-0001-0369,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0371,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0370,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0372,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0373,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0374,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0375,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0376,PAY,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0377,AIC,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0379,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0378,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0380,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0381,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0382,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0383,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0384,POL,Limited Engagement,1
HHS-ONC-2026-0001-0385,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0386,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0387,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0388,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0389,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0390,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0391,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0392,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0393,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0394,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0395,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0396,AIC,Limited Engagement,1
