comment_id,commenter_type,coalition,cluster_id
HHS-ONC-2026-0001-0158,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0159,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0160,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0161,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0162,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0163,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0164,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0166,LAB,Limited Engagement,1
HHS-ONC-2026-0001-0165,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0167,IND,Selective Universalists,2
HHS-ONC-2026-0001-0169,IND,Selective Universalists,2
HHS-ONC-2026-0001-0168,IND,Selective Universalists,2
HHS-ONC-2026-0001-0170,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0172,IND,Limited Engagement,1
HHS-ONC-2026-0001-0173,IND,Limited Engagement,1
HHS-ONC-2026-0001-0171,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0174,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0175,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0176,IND,Selective Universalists,2
HHS-ONC-2026-0001-0177,IND,Selective Universalists,2
HHS-ONC-2026-0001-0180,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0178,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0179,LAB,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0181,IND,Limited Engagement,1
HHS-ONC-2026-0001-0182,IND,Selective Universalists,2
HHS-ONC-2026-0001-0183,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0184,IND,Selective Universalists,2
HHS-ONC-2026-0001-0185,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0186,HIT,Comprehensive Pragmatists,0
