2026-03-15 15:15:49 [INFO] Wrote 6 attachment URL(s) to data/attachment_urls.txt
2026-03-15 15:17:37 [INFO] Resume: 8 already fetched.
2026-03-15 15:17:37 [INFO] Step A: Fetching docket documents...
2026-03-15 15:17:38 [INFO]   Found 1 document(s).
2026-03-15 15:17:39 [INFO] Step B: Fetching comment list (paginated)...
2026-03-15 15:17:42 [INFO]   Total comments: 447.
2026-03-15 15:17:42 [INFO] Step C: Fetching full detail for each comment...
2026-03-15 15:17:42 [INFO]   [1/439] HHS-ONC-2026-0001-0010
2026-03-15 15:17:43 [INFO]   [2/439] HHS-ONC-2026-0001-0011
2026-03-15 15:17:44 [INFO]   [3/439] HHS-ONC-2026-0001-0012
2026-03-15 15:17:46 [INFO]   [4/439] HHS-ONC-2026-0001-0013
2026-03-15 15:17:47 [INFO]   [5/439] HHS-ONC-2026-0001-0014
2026-03-15 15:17:49 [INFO]   [6/439] HHS-ONC-2026-0001-0015
2026-03-15 15:17:50 [INFO]   [7/439] HHS-ONC-2026-0001-0016
2026-03-15 15:17:51 [INFO]   [8/439] HHS-ONC-2026-0001-0017
2026-03-15 15:17:53 [INFO]   [9/439] HHS-ONC-2026-0001-0018
2026-03-15 15:17:54 [INFO]   [10/439] HHS-ONC-2026-0001-0019
2026-03-15 15:17:55 [INFO]   [11/439] HHS-ONC-2026-0001-0020
2026-03-15 15:17:57 [INFO]   [12/439] HHS-ONC-2026-0001-0021
2026-03-15 15:17:58 [INFO]   [13/439] HHS-ONC-2026-0001-0022
2026-03-15 15:17:59 [INFO]   [14/439] HHS-ONC-2026-0001-0023
2026-03-15 15:18:01 [INFO]   [15/439] HHS-ONC-2026-0001-0024
2026-03-15 15:18:02 [INFO]   [16/439] HHS-ONC-2026-0001-0025
2026-03-15 15:18:03 [INFO]   [17/439] HHS-ONC-2026-0001-0026
2026-03-15 15:18:05 [INFO]   [18/439] HHS-ONC-2026-0001-0027
2026-03-15 15:18:06 [INFO]   [19/439] HHS-ONC-2026-0001-0028
2026-03-15 15:18:08 [INFO]   [20/439] HHS-ONC-2026-0001-0029
2026-03-15 15:18:09 [INFO]   [21/439] HHS-ONC-2026-0001-0030
2026-03-15 15:18:10 [INFO]   [22/439] HHS-ONC-2026-0001-0031
2026-03-15 15:18:12 [INFO]   [23/439] HHS-ONC-2026-0001-0032
2026-03-15 15:18:13 [INFO]   [24/439] HHS-ONC-2026-0001-0033
2026-03-15 15:18:14 [INFO]   [25/439] HHS-ONC-2026-0001-0034
2026-03-15 15:18:16 [INFO]   [26/439] HHS-ONC-2026-0001-0035
2026-03-15 15:18:17 [INFO]   [27/439] HHS-ONC-2026-0001-0036
2026-03-15 15:18:18 [INFO]   [28/439] HHS-ONC-2026-0001-0037
2026-03-15 15:18:20 [INFO]   [29/439] HHS-ONC-2026-0001-0038
2026-03-15 15:18:21 [INFO]   [30/439] HHS-ONC-2026-0001-0039
2026-03-15 15:18:23 [INFO]   [31/439] HHS-ONC-2026-0001-0040
2026-03-15 15:18:24 [INFO]   [32/439] HHS-ONC-2026-0001-0041
2026-03-15 15:18:25 [INFO]   [33/439] HHS-ONC-2026-0001-0042
2026-03-15 15:18:27 [INFO]   [34/439] HHS-ONC-2026-0001-0043
2026-03-15 15:18:28 [INFO]   [35/439] HHS-ONC-2026-0001-0044
2026-03-15 15:18:29 [INFO]   [36/439] HHS-ONC-2026-0001-0045
2026-03-15 15:18:31 [INFO]   [37/439] HHS-ONC-2026-0001-0046
2026-03-15 15:18:32 [INFO]   [38/439] HHS-ONC-2026-0001-0047
2026-03-15 15:18:33 [INFO]   [39/439] HHS-ONC-2026-0001-0048
2026-03-15 15:18:35 [INFO]   [40/439] HHS-ONC-2026-0001-0049
2026-03-15 15:18:36 [INFO]   [41/439] HHS-ONC-2026-0001-0050
2026-03-15 15:18:37 [INFO]   [42/439] HHS-ONC-2026-0001-0051
2026-03-15 15:18:39 [INFO]   [43/439] HHS-ONC-2026-0001-0052
2026-03-15 15:18:40 [INFO]   [44/439] HHS-ONC-2026-0001-0053
2026-03-15 15:18:41 [INFO]   [45/439] HHS-ONC-2026-0001-0054
2026-03-15 15:18:43 [INFO]   [46/439] HHS-ONC-2026-0001-0055
2026-03-15 15:18:44 [INFO]   [47/439] HHS-ONC-2026-0001-0056
2026-03-15 15:18:46 [INFO]   [48/439] HHS-ONC-2026-0001-0057
2026-03-15 15:18:47 [INFO]   [49/439] HHS-ONC-2026-0001-0058
2026-03-15 15:18:48 [INFO]   [50/439] HHS-ONC-2026-0001-0059
2026-03-15 15:18:50 [INFO]   [51/439] HHS-ONC-2026-0001-0060
2026-03-15 15:18:51 [INFO]   [52/439] HHS-ONC-2026-0001-0061
2026-03-15 15:18:52 [INFO]   [53/439] HHS-ONC-2026-0001-0062
2026-03-15 15:18:54 [INFO]   [54/439] HHS-ONC-2026-0001-0063
2026-03-15 15:18:55 [INFO]   [55/439] HHS-ONC-2026-0001-0064
2026-03-15 15:18:56 [INFO]   [56/439] HHS-ONC-2026-0001-0065
2026-03-15 15:18:58 [INFO]   [57/439] HHS-ONC-2026-0001-0066
2026-03-15 15:18:59 [INFO]   [58/439] HHS-ONC-2026-0001-0067
2026-03-15 15:19:00 [INFO]   [59/439] HHS-ONC-2026-0001-0068
2026-03-15 15:19:02 [INFO]   [60/439] HHS-ONC-2026-0001-0069
2026-03-15 15:19:03 [INFO]   [61/439] HHS-ONC-2026-0001-0070
2026-03-15 15:19:04 [INFO]   [62/439] HHS-ONC-2026-0001-0071
2026-03-15 15:19:06 [INFO]   [63/439] HHS-ONC-2026-0001-0072
2026-03-15 15:19:07 [INFO]   [64/439] HHS-ONC-2026-0001-0073
2026-03-15 15:19:09 [INFO]   [65/439] HHS-ONC-2026-0001-0074
2026-03-15 15:19:10 [INFO]   [66/439] HHS-ONC-2026-0001-0075
2026-03-15 15:19:11 [INFO]   [67/439] HHS-ONC-2026-0001-0076
2026-03-15 15:19:13 [INFO]   [68/439] HHS-ONC-2026-0001-0077
2026-03-15 15:19:14 [INFO]   [69/439] HHS-ONC-2026-0001-0078
2026-03-15 15:19:15 [INFO]   [70/439] HHS-ONC-2026-0001-0079
2026-03-15 15:19:17 [INFO]   [71/439] HHS-ONC-2026-0001-0080
2026-03-15 15:19:18 [INFO]   [72/439] HHS-ONC-2026-0001-0081
2026-03-15 15:19:19 [INFO]   [73/439] HHS-ONC-2026-0001-0082
2026-03-15 15:19:21 [INFO]   [74/439] HHS-ONC-2026-0001-0083
2026-03-15 15:19:22 [INFO]   [75/439] HHS-ONC-2026-0001-0084
2026-03-15 15:19:23 [INFO]   [76/439] HHS-ONC-2026-0001-0085
2026-03-15 15:19:25 [INFO]   [77/439] HHS-ONC-2026-0001-0086
2026-03-15 15:19:26 [INFO]   [78/439] HHS-ONC-2026-0001-0087
2026-03-15 15:19:27 [INFO]   [79/439] HHS-ONC-2026-0001-0088
2026-03-15 15:19:29 [INFO]   [80/439] HHS-ONC-2026-0001-0089
2026-03-15 15:19:30 [INFO]   [81/439] HHS-ONC-2026-0001-0090
2026-03-15 15:19:32 [INFO]   [82/439] HHS-ONC-2026-0001-0091
2026-03-15 15:19:33 [INFO]   [83/439] HHS-ONC-2026-0001-0092
2026-03-15 15:19:34 [INFO]   [84/439] HHS-ONC-2026-0001-0093
2026-03-15 15:19:36 [INFO]   [85/439] HHS-ONC-2026-0001-0094
2026-03-15 15:19:37 [INFO]   [86/439] HHS-ONC-2026-0001-0095
2026-03-15 15:19:38 [INFO]   [87/439] HHS-ONC-2026-0001-0096
2026-03-15 15:19:40 [INFO]   [88/439] HHS-ONC-2026-0001-0097
2026-03-15 15:19:41 [INFO]   [89/439] HHS-ONC-2026-0001-0098
2026-03-15 15:19:42 [INFO]   [90/439] HHS-ONC-2026-0001-0099
2026-03-15 15:19:44 [INFO]   [91/439] HHS-ONC-2026-0001-0100
2026-03-15 15:19:45 [INFO]   [92/439] HHS-ONC-2026-0001-0101
