pos_regulation,ADV,AIC,HIT,HSP,IND,LAB,MPS,PAY,POL,TEC
R0,7,2,8,2,24,0,8,0,0,1
R1,35,4,9,6,35,0,14,2,3,1
R2,17,8,35,19,8,1,14,5,3,4
R3,12,6,58,18,15,4,15,3,5,1
R4,4,1,5,1,4,0,3,0,0,0
R5,2,1,9,1,2,0,0,0,0,1
