finding,comment_id,organization,commenter_type,n_proposals,excerpt
R3 — Clarification of existing rules,HHS-ONC-2026-0001-0410,The American Academy of Orthotists and Prosthetists,MPS,13,"Whether certain AI-enabled documentation or monitoring tools could be considered under existing remote monitoring or digital health benefit categories, and, where clinically appropriate and consistent with statutory authority, clarify whether O&P practitioners may participate in such billing pathways."
H2 — Risk-tiered human oversight,HHS-ONC-2026-0001-0009,Massive Bio,HIT,15,"For example, award bonus points to ACOs that use AI to identify high-risk patients or match cancer patients to clinical trials13."
E3 — Full-lifecycle evaluation,HHS-ONC-2026-0001-0009,Massive Bio,HIT,15,"Modernize Regulation & Governance (The Safety Lever) Update FDA Frameworks: Finalize the ""Total Product Lifecycle"" approach for Software as a Medical Device (SaMD), allowing AI algorithms to learn and improve over time without requiring new submissions for every update."
L4 — Federal safe harbor for validated AI,HHS-ONC-2026-0001-0248,MEDITECH,HIT,15,"Novel Legal and Implementation Issues For non-medical devices, we understand that use of AI in clinical care may raise novel legal and implementation issues that challenge existing governance and accountability structures (e.g., relating to liability, indemnification, privacy, and security)."
Patient advocacy on equity and bias,HHS-ONC-2026-0001-0314,American Geriatrics Society,MPS,15,Build regulatory frameworks for age-related bias and equity to establish standards that identify and mitigate age-related algorithmic bias and promote equitable AI performance across diverse older populations.
