pos_evaluation,ADV,AIC,HIT,HSP,IND,LAB,MPS,PAY,POL,TEC
E0,15,4,23,3,32,1,10,1,1,0
E1,2,0,0,0,6,0,6,0,0,0
E2,5,1,5,2,5,0,0,1,0,1
E3,50,14,83,37,32,4,37,8,10,6
E4,0,1,9,3,1,0,1,0,0,0
E5,5,2,4,2,12,0,0,0,0,1
