pos_interoperability,ADV,AIC,HIT,HSP,IND,LAB,MPS,PAY,POL,TEC
D0,35,7,22,13,48,2,19,3,6,1
D1,13,6,35,10,5,0,17,4,3,4
D2,23,6,53,18,26,3,12,2,2,3
D3,3,0,3,0,4,0,1,0,0,0
D4,1,1,8,5,2,0,3,1,0,0
D5,2,2,3,1,3,0,2,0,0,0
