pos_oversight,ADV,AIC,HIT,HSP,IND,LAB,MPS,PAY,POL,TEC
H0,5,6,27,1,26,1,3,0,1,3
H1,33,2,8,8,33,1,26,3,2,1
H2,37,14,87,37,24,3,25,7,7,4
H3,2,0,2,1,3,0,0,0,0,0
H4,0,0,0,0,2,0,0,0,1,0
