pos_liability,ADV,AIC,HIT,HSP,IND,LAB,MPS,PAY,POL,TEC
L0,29,10,46,11,70,4,22,6,6,4
L1,10,1,1,3,3,0,6,1,0,0
L2,31,8,46,26,9,1,20,1,3,3
L3,0,0,2,0,0,0,0,0,0,0
L4,6,2,26,6,3,0,4,2,1,0
L5,1,1,3,1,3,0,2,0,1,1
