pos_reimbursement,ADV,AIC,HIT,HSP,IND,LAB,MPS,PAY,POL,TEC
P0,30,5,24,6,64,1,25,3,5,3
P1,8,3,19,6,2,3,9,0,2,0
P2,11,1,29,8,4,0,4,3,1,1
P3,0,0,10,1,2,0,2,1,0,1
P4,4,5,6,7,5,0,1,0,1,2
P5,24,8,36,19,11,1,13,3,2,1
