variable,label,ai_full_corpus_n,ai_full_corpus_prev,ai_full_ci,n_validation,ai_validation_prev,ai_validation_ci,human_a_prev,human_a_ci,human_b_prev,human_b_ci,ai_vs_human_diff_avg
top_trust,Trust,446,0.854,"[0.818, 0.884]",100,0.88,"[0.802, 0.930]",0.65,"[0.553, 0.736]",0.59,"[0.492, 0.681]",0.26
top_safety,Patient safety,446,0.778,"[0.737, 0.814]",100,0.81,"[0.722, 0.875]",0.63,"[0.532, 0.718]",0.7,"[0.604, 0.781]",0.145
bar_privacy_constraints,Privacy constraints,446,0.453,"[0.407, 0.499]",100,0.42,"[0.328, 0.518]",0.24,"[0.167, 0.332]",0.15,"[0.093, 0.233]",0.225
patient_perspective,Patient perspective,446,0.094,"[0.070, 0.125]",100,0.09,"[0.048, 0.162]",0.01,"[0.002, 0.054]",0.09,"[0.048, 0.162]",0.04
clinical_perspective,Clinical perspective,446,0.442,"[0.396, 0.488]",100,0.5,"[0.404, 0.596]",0.39,"[0.300, 0.488]",0.56,"[0.462, 0.653]",0.025
top_equity,Equity & bias,446,0.549,"[0.503, 0.595]",100,0.54,"[0.443, 0.634]",0.35,"[0.264, 0.447]",0.49,"[0.394, 0.587]",0.12
top_standards,Standards & accreditation,446,0.791,"[0.751, 0.827]",100,0.79,"[0.700, 0.858]",0.68,"[0.583, 0.763]",0.7,"[0.604, 0.781]",0.1
top_transparency,Transparency & explainability,446,0.675,"[0.630, 0.717]",100,0.66,"[0.563, 0.745]",0.52,"[0.423, 0.615]",0.55,"[0.452, 0.644]",0.125
